"Data","Último","Abertura","Máxima","Mínima","Var%"
"16.09.2025","13,630","13,663","13,675","13,630","-0,34%"
"15.09.2025","13,677","13,733","13,733","13,675","-0,87%"
"12.09.2025","13,797","13,813","13,823","13,797","0,00%"
"11.09.2025","13,797","13,787","13,797","13,775","-0,29%"
"10.09.2025","13,837","13,890","13,890","13,833","-0,27%"
"09.09.2025","13,875","13,927","13,927","13,875","-0,25%"
"08.09.2025","13,910","13,938","13,988","13,910","-0,14%"
"05.09.2025","13,930","13,908","13,938","13,908","-0,92%"
"04.09.2025","14,060","14,128","14,128","14,055","0,00%"
"03.09.2025","14,060","14,060","14,065","14,040","-0,02%"
"02.09.2025","14,063","14,085","14,085","14,063","0,59%"
"01.09.2025","13,980","14,000","14,005","13,980","0,38%"
"29.08.2025","13,927","13,915","13,927","13,895","0,14%"
"28.08.2025","13,908","14,030","14,030","13,882","-1,15%"
"27.08.2025","14,070","14,040","14,080","14,040","0,18%"
"26.08.2025","14,045","14,080","14,085","14,045","0,25%"
"25.08.2025","14,010","14,000","14,038","13,993","-0,43%"
"22.08.2025","14,070","14,118","14,120","14,057","-0,74%"
"21.08.2025","14,175","14,047","14,175","14,047","1,13%"
"20.08.2025","14,017","14,050","14,073","13,998","-0,25%"
"19.08.2025","14,052","14,028","14,052","14,025","1,22%"
"18.08.2025","13,882","13,775","13,882","13,775","0,58%"
"15.08.2025","13,802","13,760","13,813","13,760","-0,08%"
"14.08.2025","13,813","13,807","13,823","13,802","-0,01%"
"13.08.2025","13,815","13,795","13,815","13,788","0,58%"
"12.08.2025","13,735","13,725","13,735","13,703","-0,29%"
"11.08.2025","13,775","13,820","13,823","13,765","-0,45%"
"08.08.2025","13,837","13,800","13,837","13,800","-0,32%"
"07.08.2025","13,882","13,950","13,962","13,882","-0,45%"
"06.08.2025","13,945","13,993","13,993","13,945","-0,29%"
"05.08.2025","13,985","13,943","13,985","13,932","0,36%"
"04.08.2025","13,935","13,955","13,955","13,920","-0,78%"
"01.08.2025","14,045","14,050","14,050","14,015","-0,48%"
"31.07.2025","14,113","14,105","14,125","14,100","0,51%"
"30.07.2025","14,042","14,002","14,042","13,962","0,30%"
"29.07.2025","14,000","14,110","14,110","14,000","-0,93%"
"28.07.2025","14,132","14,125","14,132","14,110","-0,07%"
"25.07.2025","14,142","14,145","14,145","14,113","0,26%"
"24.07.2025","14,105","14,024","14,145","14,024","0,30%"
"23.07.2025","14,063","14,004","14,063","14,002","0,38%"
"22.07.2025","14,010","14,005","14,010","13,993","-0,78%"
"21.07.2025","14,120","14,185","14,185","14,120","-0,21%"
"18.07.2025","14,150","14,102","14,170","14,073","0,68%"
"17.07.2025","14,055","14,198","14,198","14,055","-0,48%"
"16.07.2025","14,123","14,142","14,233","14,123","0,52%"
"15.07.2025","14,050","14,012","14,050","13,907","1,03%"
"14.07.2025","13,907","13,877","13,970","13,855","0,30%"
"11.07.2025","13,865","13,953","13,962","13,855","-0,43%"
"10.07.2025","13,925","13,945","13,945","13,892","1,20%"
"09.07.2025","13,760","13,725","13,762","13,720","0,29%"
"08.07.2025","13,720","13,680","13,740","13,672","0,22%"
"07.07.2025","13,690","13,623","13,700","13,623","0,65%"
"04.07.2025","13,602","13,618","13,620","13,602","0,27%"
"03.07.2025","13,565","13,520","13,578","13,507","0,41%"
"02.07.2025","13,510","13,547","13,547","13,505","0,20%"
"01.07.2025","13,483","13,475","13,756","13,450","-0,79%"
"30.06.2025","13,590","13,797","13,815","13,543","-1,93%"
"27.06.2025","13,858","13,931","13,940","13,825","-0,12%"
"26.06.2025","13,875","13,925","13,940","13,875","-0,47%"
"25.06.2025","13,941","13,865","13,943","13,845","0,68%"
"24.06.2025","13,847","13,850","13,930","13,845","0,05%"
"23.06.2025","13,840","13,885","13,890","13,835","-0,11%"
"20.06.2025","13,855","13,887","13,890","13,855","-0,75%"
"18.06.2025","13,960","13,940","14,000","13,890","-0,20%"
"17.06.2025","13,988","13,922","13,988","13,895","0,42%"
"16.06.2025","13,930","14,095","14,125","13,930","-0,83%"
"13.06.2025","14,047","14,125","14,125","13,917","0,95%"
"12.06.2025","13,915","13,920","14,015","13,915","-0,14%"
"11.06.2025","13,935","13,970","14,028","13,938","-0,54%"
"10.06.2025","14,010","14,181","14,210","13,995","-0,67%"
"09.06.2025","14,105","14,210","14,210","14,090","-0,51%"
"06.06.2025","14,177","14,248","14,248","14,127","0,42%"
"05.06.2025","14,118","13,995","14,118","13,995","0,91%"
"04.06.2025","13,990","14,000","14,070","13,990","0,30%"
"03.06.2025","13,948","14,120","14,120","13,948","-0,90%"
"02.06.2025","14,075","14,015","14,075","13,993","0,59%"
"30.05.2025","13,993","14,050","14,050","13,993","0,00%"
"29.05.2025","13,993","14,020","14,020","13,943","-0,12%"
"28.05.2025","14,010","14,010","14,010","14,010","0,37%"
"27.05.2025","13,958","14,012","14,012","13,958","-1,18%"
"26.05.2025","14,125","14,180","14,188","14,113","-0,35%"
"23.05.2025","14,174","14,161","14,280","14,007","1,19%"
"22.05.2025","14,007","14,190","14,208","14,007","-1,46%"
"21.05.2025","14,215","14,200","14,215","14,200","0,53%"
"20.05.2025","14,140","14,026","14,140","14,024","0,81%"
"19.05.2025","14,026","14,127","14,130","14,026","-0,38%"
"16.05.2025","14,080","14,130","14,130","14,068","-0,04%"
"15.05.2025","14,085","14,110","14,110","13,983","1,12%"
"14.05.2025","13,929","13,929","13,929","13,929","-0,56%"
"13.05.2025","14,007","13,870","14,007","13,868","1,04%"
"12.05.2025","13,863","13,762","13,910","13,757","0,75%"
"09.05.2025","13,760","13,842","13,850","13,760","-1,52%"
"08.05.2025","13,972","13,995","13,995","13,880","0,00%"
"07.05.2025","13,972","13,995","14,130","13,927","-1,14%"
"06.05.2025","14,133","14,130","14,133","13,993","0,26%"
"05.05.2025","14,097","14,145","14,150","14,097","0,24%"
"02.05.2025","14,063","14,075","14,169","14,063","-0,26%"
"30.04.2025","14,100","14,225","14,290","14,100","-1,93%"
"29.04.2025","14,377","14,377","14,377","14,377","0,43%"
"28.04.2025","14,315","14,248","14,395","14,248","-1,37%"
"25.04.2025","14,514","14,514","14,514","14,278","0,00%"
"24.04.2025","14,514","14,626","14,626","14,330","-0,71%"
"23.04.2025","14,618","14,618","14,693","14,533","0,00%"
"22.04.2025","14,618","14,580","14,710","14,568","0,02%"
"17.04.2025","14,615","14,675","14,675","14,565","-0,58%"
"16.04.2025","14,700","14,700","14,730","14,663","0,40%"
"15.04.2025","14,642","14,710","14,730","14,642","0,23%"
"14.04.2025","14,608","14,660","14,830","14,608","-1,40%"
"11.04.2025","14,815","15,089","15,089","14,815","-1,63%"
"10.04.2025","15,060","15,114","15,250","14,950","1,36%"
"09.04.2025","14,858","14,858","15,210","14,818","0,09%"
"08.04.2025","14,845","14,855","14,945","14,693","0,39%"
"07.04.2025","14,788","14,945","14,995","14,693","-0,01%"
"04.04.2025","14,790","14,755","14,790","14,730","0,16%"
"03.04.2025","14,767","14,865","15,028","14,767","-1,80%"
"02.04.2025","15,038","14,910","15,038","14,910","0,42%"
"01.04.2025","14,975","15,002","15,102","14,975","-0,86%"
"31.03.2025","15,105","15,251","15,251","15,028","0,42%"
"28.03.2025","15,042","15,160","15,172","15,042","0,18%"
"27.03.2025","15,015","15,012","15,172","14,981","-0,92%"
"26.03.2025","15,155","14,843","15,155","14,843","1,53%"
"25.03.2025","14,927","14,840","14,995","14,833","-0,17%"
"24.03.2025","14,953","14,965","14,975","14,915","1,73%"
"21.03.2025","14,698","14,680","14,945","14,558","-0,12%"
"20.03.2025","14,716","14,600","14,717","14,520","0,79%"
