,2022-10-31 09:48:00-04:00
Open,7.599999904632568
High,7.639999866485596
Low,7.599999904632568
Close,7.599999904632568
Adj Close,7.599999904632568
Volume,1102
time,2022-10-31 13:48:00+00:00
timeArg,2022-10-31 10:48:00-03:00
khora,48.82358386042666
dhora,49.47389055829488
kdia,56.115919425495726
ddia,72.73679794117531
ksem,27.300385217801875
dsem,18.703578437896322
compra,False
venta,False
closeLong,True
closeShort,False
entradaLongH,False
entradaShortH,True
oper,CLOSELONG
long,-0.005886210125077287
short,
state,compra
