,2022-09-09 12:46:00-04:00
Open,8.930000305175781
High,8.930000305175781
Low,8.930000305175781
Close,8.930000305175781
Adj Close,8.930000305175781
Volume,483
time,2022-09-09 16:46:00
timeArg,2022-09-09 13:46:00-03:00
khora,76.38946286465124
dhora,80.56987183562748
kdia,61.64797472662536
ddia,62.18169890472957
ksem,36.90315817931443
dsem,20.992002277991904
compra,False
venta,False
closeLong,True
closeShort,False
entradaLongH,False
entradaShortH,True
oper,CLOSELONG
long,0.006764421690059284
short,
state,compra
