,2022-10-03 10:04:00-04:00
Open,7.829999923706055
High,7.829999923706055
Low,7.829999923706055
Close,7.829999923706055
Adj Close,7.829999923706055
Volume,380
time,2022-10-03 14:04:00
timeArg,2022-10-03 11:04:00-03:00
khora,96.4054031181683
dhora,95.59168712643054
kdia,48.74683224310422
ddia,42.2483186239998
ksem,87.29525828245576
dsem,41.2849817495571
compra,True
venta,False
closeLong,False
closeShort,True
entradaLongH,True
entradaShortH,False
oper,COMPRA
long,
short,-0.042609811594088796
state,venta
