Date , EUR/USD | Avg of Month , Note
Apr 2020 , 1.0871 , Actual
May 2020 , 1.0907 , Actual
Jun 2020 , 1.1259 , Actual
Jul 2020 , 1.1488 , Actual
Aug 2020 , 1.1828 , Actual
Sep 2020 , 1.1785 , Actual
Oct 2020 , 1.1768 , Actual
Nov 2020 , 1.1826 , Actual
Dec 2020 , 1.2168 , Actual
Jan 2021 , 1.2178 , Actual
Feb 2021 , 1.2094 , Actual
Mar 2021 , 1.1902 , Actual
Apr 2021 , 1.1965 , Actual
May 2021 , 1.2146 , Actual
Jun 2021 , 1.2048 , Actual
Jul 2021 , 1.1821 , Actual
Aug 2021 , 1.1767 , Actual
Sep 2021 , 1.1765 , Actual
Oct 2021 , 1.1600 , Actual
Nov 2021 , 1.1416 , Actual
Dec 2021 , 1.1301 , Actual
Jan 2022 , 1.1317 , Actual
Feb 2022 , 1.1349 , Actual
Mar 2022 , 1.1019 , Actual
Apr 2022 , 1.0803 , Actual
May 2022 , 1.0567 , Actual
Jun 2022 , 1.0567 , Actual
Jul 2022 , 1.0168 , Actual
Aug 2022 , 1.0129 , Actual
Sep 2022 , 0.9899 , Actual
Oct 2022 , 0.9853 , Actual
Nov 2022 , 1.0192 , Actual
Dec 2022 , 1.0591 , Actual
Jan 2023 , 1.0777 , Actual
Feb 2023 , 1.0702 , Actual
Mar 2023 , 1.0711 , Actual
Apr 2023 , 1.0962 , Actual
May 2023 , 1.0867 , Actual
Jun 2023 , 1.0840 , Actual
Jul 2023 , 1.1067 , Actual
Aug 2023 , 1.0910 , Actual
Sep 2023 , 1.0672 , Actual
Oct 2023 , 1.0565 , Actual
Nov 2023 , 1.0819 , Actual
Dec 2023 , 1.0909 , Actual
Jan 2024 , 1.0899 , Actual
Feb 2024 , 1.0793 , Actual
Mar 2024 , 1.0874 , Actual
Apr 2024 , 1.0728 , Actual
May 2024 , 1.0809 , Actual
Jun 2024 , 1.0767 , Actual
Jul 2024 , 1.0844 , Actual
Aug 2024 , 1.1021 , Actual
Sep 2024 , 1.1107 , Actual
Oct 2024 , 1.0903 , Actual
Nov 2024 , 1.0632 , Actual
Dec 2024 , 1.0470 , Actual
Jan 2025 , 1.0358 , Actual
Feb 2025 , 1.0419 , Actual
Mar 2025 , 1.0808 , Actual
Apr 2025 , 1.1221 , Actual
May 2025 , 1.116 , Forecast
Jun 2025 , 1.081 , Forecast
Jul 2025 , 1.053 , Forecast
Aug 2025 , 1.070 , Forecast
Sep 2025 , 1.022 , Forecast
Oct 2025 , 1.010 , Forecast
Nov 2025 , 1.031 , Forecast
Dec 2025 , 1.076 , Forecast

www.forecasts.org
