Date , US Real Gross Domestic Product | Billion USD | SAAR , Note
Mar 2020 , 20693.2 , Actual
Apr 2020 , 19056.6 , Actual
May 2020 , 19056.6 , Actual
Jun 2020 , 19056.6 , Actual
Jul 2020 , 20548.8 , Actual
Aug 2020 , 20548.8 , Actual
Sep 2020 , 20548.8 , Actual
Oct 2020 , 20771.7 , Actual
Nov 2020 , 20771.7 , Actual
Dec 2020 , 20771.7 , Actual
Jan 2021 , 21058.4 , Actual
Feb 2021 , 21058.4 , Actual
Mar 2021 , 21058.4 , Actual
Apr 2021 , 21389.0 , Actual
May 2021 , 21389.0 , Actual
Jun 2021 , 21389.0 , Actual
Jul 2021 , 21571.4 , Actual
Aug 2021 , 21571.4 , Actual
Sep 2021 , 21571.4 , Actual
Oct 2021 , 21960.4 , Actual
Nov 2021 , 21960.4 , Actual
Dec 2021 , 21960.4 , Actual
Jan 2022 , 21903.8 , Actual
Feb 2022 , 21903.8 , Actual
Mar 2022 , 21903.8 , Actual
Apr 2022 , 21919.2 , Actual
May 2022 , 21919.2 , Actual
Jun 2022 , 21919.2 , Actual
Jul 2022 , 22066.8 , Actual
Aug 2022 , 22066.8 , Actual
Sep 2022 , 22066.8 , Actual
Oct 2022 , 22249.5 , Actual
Nov 2022 , 22249.5 , Actual
Dec 2022 , 22249.5 , Actual
Jan 2023 , 22403.4 , Actual
Feb 2023 , 22403.4 , Actual
Mar 2023 , 22403.4 , Actual
Apr 2023 , 22539.4 , Actual
May 2023 , 22539.4 , Actual
Jun 2023 , 22539.4 , Actual
Jul 2023 , 22780.9 , Actual
Aug 2023 , 22780.9 , Actual
Sep 2023 , 22780.9 , Actual
Oct 2023 , 22960.6 , Actual
Nov 2023 , 22960.6 , Actual
Dec 2023 , 22960.6 , Actual
Jan 2024 , 23053.5 , Actual
Feb 2024 , 23053.5 , Actual
Mar 2024 , 23053.5 , Actual
Apr 2024 , 23223.9 , Actual
May 2024 , 23223.9 , Actual
Jun 2024 , 23223.9 , Actual
Jul 2024 , 23400.3 , Actual
Aug 2024 , 23400.3 , Actual
Sep 2024 , 23400.3 , Actual
Oct 2024 , 23542.3 , Actual
Nov 2024 , 23542.3 , Actual
Dec 2024 , 23542.3 , Actual
Jan 2025 , 23526.1 , Actual
Feb 2025 , 23526.1 , Actual
Mar 2025 , 23526.1 , Actual
Apr 2025 , 23367.0 , Forecast
May 2025 , 23367.0 , Forecast
Jun 2025 , 23367.0 , Forecast
Jul 2025 , 23171.0 , Forecast
Aug 2025 , 23171.0 , Forecast
Sep 2025 , 23171.0 , Forecast
Oct 2025 , 23143.0 , Forecast
Nov 2025 , 23143.0 , Forecast

www.forecasts.org
