Date , Standard and Poors 500 | Average of Month , Note
Apr 2020 , 2760.06 , Actual
May 2020 , 2919.13 , Actual
Jun 2020 , 3103.92 , Actual
Jul 2020 , 3204.38 , Actual
Aug 2020 , 3387.69 , Actual
Sep 2020 , 3368.78 , Actual
Oct 2020 , 3421.05 , Actual
Nov 2020 , 3547.00 , Actual
Dec 2020 , 3693.06 , Actual
Jan 2021 , 3794.56 , Actual
Feb 2021 , 3880.01 , Actual
Mar 2021 , 3909.00 , Actual
Apr 2021 , 4137.28 , Actual
May 2021 , 4167.18 , Actual
Jun 2021 , 4237.01 , Actual
Jul 2021 , 4359.61 , Actual
Aug 2021 , 4450.79 , Actual
Sep 2021 , 4451.42 , Actual
Oct 2021 , 4455.25 , Actual
Nov 2021 , 4668.98 , Actual
Dec 2021 , 4672.05 , Actual
Jan 2022 , 4576.67 , Actual
Feb 2022 , 4434.63 , Actual
Mar 2022 , 4389.00 , Actual
Apr 2022 , 4400.26 , Actual
May 2022 , 4036.64 , Actual
Jun 2022 , 3903.59 , Actual
Jul 2022 , 3900.57 , Actual
Aug 2022 , 4162.44 , Actual
Sep 2022 , 3854.78 , Actual
Oct 2022 , 3720.86 , Actual
Nov 2022 , 3915.42 , Actual
Dec 2022 , 3915.56 , Actual
Jan 2023 , 3954.20 , Actual
Feb 2023 , 4078.89 , Actual
Mar 2023 , 3966.91 , Actual
Apr 2023 , 4118.19 , Actual
May 2023 , 4146.19 , Actual
Jun 2023 , 4340.12 , Actual
Jul 2023 , 4507.55 , Actual
Aug 2023 , 4459.64 , Actual
Sep 2023 , 4413.61 , Actual
Oct 2023 , 4270.06 , Actual
Nov 2023 , 4454.74 , Actual
Dec 2023 , 4675.97 , Actual
Jan 2024 , 4801.78 , Actual
Feb 2024 , 5006.37 , Actual
Mar 2024 , 5169.01 , Actual
Apr 2024 , 5117.76 , Actual
May 2024 , 5232.37 , Actual
Jun 2024 , 5411.05 , Actual
Jul 2024 , 5541.31 , Actual
Aug 2024 , 5476.21 , Actual
Sep 2024 , 5620.71 , Actual
Oct 2024 , 5793.48 , Actual
Nov 2024 , 5924.79 , Actual
Dec 2024 , 6014.43 , Actual
Jan 2025 , 5977.73 , Actual
Feb 2025 , 6037.30 , Actual
Mar 2025 , 5686.20 , Actual
Apr 2025 , 5358.77 , Actual
May 2025 , 5539.0 , Forecast
Jun 2025 , 5211.0 , Forecast
Jul 2025 , 5290.0 , Forecast
Aug 2025 , 5088.0 , Forecast
Sep 2025 , 5248.0 , Forecast
Oct 2025 , 5338.0 , Forecast
Nov 2025 , 5473.0 , Forecast
Dec 2025 , 5578.0 , Forecast

www.forecasts.org
