,0
0,"09/26/2022, 13:30:00"
1,"09/27/2022, 15:44:00"
2,"09/27/2022, 16:20:00"
3,"09/28/2022, 15:42:00"
4,"09/29/2022, 14:06:00"
5,"09/29/2022, 17:04:00"
6,"09/30/2022, 17:24:00"
7,"10/03/2022, 14:04:00"
8,"10/04/2022, 18:08:00"
9,"10/04/2022, 19:02:00"
10,"10/05/2022, 16:54:00"
11,"10/06/2022, 15:04:00"
12,"10/07/2022, 14:20:00"
13,"10/11/2022, 17:16:00"
14,"10/11/2022, 19:10:00"
15,"10/12/2022, 15:52:00"
16,"10/12/2022, 18:20:00"
17,"10/13/2022, 14:48:00"
18,"10/13/2022, 16:36:00"
19,"10/13/2022, 19:00:00"
20,"10/14/2022, 16:58:00"
21,"10/14/2022, 17:22:00"
22,"10/14/2022, 19:58:00"
23,"10/17/2022, 13:40:00"
24,"10/17/2022, 15:28:00"
25,"10/18/2022, 13:50:00"
26,"10/20/2022, 15:08:00"
27,"10/20/2022, 19:34:00"
28,"10/21/2022, 17:52:00"
29,"10/24/2022, 14:46:00"
30,"10/24/2022, 18:18:00"
31,"10/25/2022, 17:32:00"
32,"10/25/2022, 18:14:00"
33,"10/26/2022, 13:40:00"
34,"10/26/2022, 15:02:00"
35,"10/26/2022, 17:32:00"
36,"10/27/2022, 14:16:00"
37,"10/27/2022, 18:42:00"
38,"10/28/2022, 18:10:00"
39,2022-10-28 19:56:00
